GroupCode,GroupName,LevelCode,MajorCode,AdvisorUsernames
662010101,"	ชย.3/1","	PVC3","	20101",witthawat.su
662010102,"	ชย.3/2","	PVC3","	20101",witthawat.su
662010103,"	ชย.3/3","	PVC3","	20101","woraphon.ph,phongpat.yo"
662010104,"	ชย.3/4","	PVC3","	20101","woraphon.ph,phongpat.yo"
662010105,"	ชย.3/5","	PVC3","	20101","sommai.so,siriwat.lu"
662010106,"	ชย.3/6","	PVC3","	20101","sommai.so,siriwat.lu"
662010201,"	ชก.3/1","	PVC3","	20102",nanthawan.ku
662010202,"	ชก.3/2","	PVC3","	20102",nanthawan.ku
662010203,"	ชก.3/3","	PVC3","	20102",boonthawee.la
662010205,"	ชก.3/5","	PVC3","	20102",totsaporn.so
662010207,"	ชก.3/7","	PVC3","	20102",totsaporn.so
662010301,"	ชช.3/1","	PVC3","	20103",kittiyakorn.ro
662010401,"	ชฟ.3/1","	PVC3","	20104",prachuap.na
662010402,"	ชฟ.3/2","	PVC3","	20104",prachuap.na
662010403,"	ชฟ.3/3","	PVC3","	20104",natthawut.sa
662010404,"	ชฟ.3/4","	PVC3","	20104",natthawut.sa
662010405,"	ชฟ.3/5","	PVC3","	20104",jetsada.ka
662010406,"	ชฟ.3/6","	PVC3","	20104",jetsada.ka
662010501,"	ชอ.3/1","	PVC3","	20105",natthawut.ph
662010502,"	ชอ.3/2","	PVC3","	20105",natthawut.ph
662010503,"	ชอ.3/3","	PVC3","	20105",chusakun.ph
662010504,"	ชอ.3/4","	PVC3","	20105",chusakun.ph
662010601,"	ชส.3/1","	PVC3","	20106",jirawan.lu
662010602,"	ชส.3/2","	PVC3","	20106",jirawan.lu
662011001,"	ชบ.3/1","	PVC3","	20110","sirinthon.mo,fueangfa.ch"
662011002,"	ชบ.3/2","	PVC3","	20110","sirinthon.mo,fueangfa.ch"
662012701,"	ชม.3/1","	PVC3","	20127","pitchanok.im,chakkarin.ch"
662012702,"	ชม.3/2","	PVC3","	20127","pitchanok.im,chakkarin.ch"
662012703,"	ชม.3/3","	PVC3","	20127","pitchanok.im,chakkarin.ch"
662012704,"	ชม.3/4","	PVC3","	20127","pitchanok.im,chakkarin.ch"
662012705,"	ชม.3/5","	PVC3","	20127","wanisa.de,sombat.in"
662020101,"	บช.3/1","	PVC3","	20201","kanthika.ba,wasana.ma"
662020102,"	บช.3/2","	PVC3","	20201","kanthika.ba,wasana.ma"
662020103,"	บช.3/3","	PVC3","	20201",sujitra.yu
662020104,"	บช.3/4","	PVC3","	20201",sujitra.yu
662070101,"	กร.3/1","	PVC3","	20701",kanchala.ch
662070102,"	กร.3/2","	PVC3","	20701",kanchala.ch
662070103,"	กร.3/3","	PVC3","	20701",pimphan.pa
662070104,"	กร.3/4","	PVC3","	20701",pimphan.pa
662070201,"	กท.3/1","	PVC3","	20702",laliya.ph
662090101,สท.3/1,"	PVC3",21901,"mayuramat.am,amonrat.ch"
662090102,สท.3/2,"	PVC3",21901,"mayuramat.am,amonrat.ch"
662090103,สท.3/3,"	PVC3",21901,"sajee.ph,thaksaporn.so"
662090104,สท.3/4,"	PVC3",21901,"sajee.ph,thaksaporn.so"
662012801,ทค.3/1,"	PVC3",21909,"chakkrit.wo,samroeng.ph"
662012802,ทค.3/2,"	PVC3",21909,"chakkrit.wo,samroeng.ph"
662012803,ทค.3/3,"	PVC3",21909,"mallika.ru,atchara.na"
662012804,ทค.3/4,"	PVC3",21909,"mallika.ru,atchara.na"
