GroupCode,GroupName,LevelCode,MajorCode,AdvisorUsernames
683010101,"	ชย.4/1","	HVC1","	30101","nawee.na,songwut.ka"
683010102,"	ชย.4/2","	HVC1","	30101","nawee.na,songwut.ka"
683010201,"	ชก.4/1","	HVC1","	30102",totsaporn.so
683010202,"	ชก.4/2","	HVC1","	30102",intouch.pi
683010203,"	ชก.4/3","	HVC1","	30102",weeraphan.kr
683010204,"	ชก.4/4","	HVC1","	30102",pradit.fa
683010205,"	ชก.4/5","	HVC1","	30102",nopphon.su
683010301,"	ชช.4/1","	HVC1","	30103",theerawat.sa
683010401,"	ชฟ.4/1","	HVC1","	30104","suphachai.th,suphawinee.th"
683010402,"	ชฟ.4/2","	HVC1","	30104","suphachai.th,suphawinee.th"
683010403,"	ชฟ.4/3","	HVC1","	30104",khwanchai.sa
683010404,"	ชฟ.4/4","	HVC1","	30104",khwanchai.sa
683010405,"	ชฟ.4/5","	HVC1","	30104",thaksin.ph
683010406,"	ชฟ.4/6","	HVC1","	30104",thaksin.ph
683010501,"	ชอ.4/1","	HVC1","	30105",phongsathit.ma
683010502,"	ชอ.4/2","	HVC1","	30105",phongsathit.ma
683010505,"	ชอ.4/5","	HVC1","	30105",parichat.su
683010601,"	ชส.4/1","	HVC1","	30106",thatsanee.ni
683010602,"	ชส.4/2","	HVC1","	30106",thatsanee.ni
683011001,"	ชบ.4/1","	HVC1","	30110","rungthiwa.sa,worakanya.kh"
683011002,"	ชบ.4/2","	HVC1","	30110","rungthiwa.sa,worakanya.kh"
683011801,NDT.4/1,"	HVC1",30118,theerawat.sa
863012001,ชว.4/1,"	HVC1",30120,phairot.kh
863012002,ชว.4/2,"	HVC1",30120,phairot.kh
863012003,ชว.4/3,"	HVC1",30120,chutiphon.la
863012004,ชว.4/4,"	HVC1",30120,chutiphon.la
863012005,ชว.4/5,"	HVC1",30120,maitree.ch
863012006,ชว.4/6,"	HVC1",30120,maitree.ch
683012701,"	ชม.4/1","	HVC1","	30127","sombat.in,anuthida.th"
683012702,"	ชม.4/2","	HVC1","	30127","sombat.in,anuthida.th"
683012703,"	ชม.4/3","	HVC1","	30127","sombat.in,sombat.kh"
683012704,"	ชม.4/4","	HVC1","	30127","sombat.in,pitchanok.im"
683012705,"	ชม.4/5","	HVC1","	30127","sombat.in,sombat.kh"
683012706,"	ชม.4/6","	HVC1","	30127","sombat.in,sitthiphat.th"
683012707,"	ชม.4/7","	HVC1","	30127","sombat.in,sitthiphat.th"
683012708,"	ชม.4/8","	HVC1","	30127","sombat.in,sombat.kh"
683014301,ชยฟ.4/2,"	HVC1",30143,seksan.su
683014302,ชยฟ.4/1,"	HVC1",30143,seksan.su
683020101,"	บช.4/1","	HVC1","	30201","patthranit.su,thamonwan.so"
683020102,"	บช.4/2","	HVC1",30201,"patthranit.su,thamonwan.so"
683020103,"	บช.4/3","	HVC1","	30201",phimlada.ru
683020104,"	บช.4/4","	HVC1",30201,phimlada.ru
683070101,"	กร.4/1","	HVC1",30701,wiyawan.pi
683070102,"	กร.4/2","	HVC1",30701,wiyawan.pi
683070103,"	กร.4/3","	HVC1",30701,wiyawan.pi
683070301,"	กท.4/1","	HVC1","	30702",pitiphat.sr
683140101,ลจ.4/1,HVC1,31401,"waranya.so,panisa.wa"
683140102,ลจ.4/2,HVC1,31401,"lamoon.na,channarong.th"
683140103,ลจ.4/3,HVC1,31401,naruemon.pa
683140104,ลจ.4/4,HVC1,31401,chonnikarn.th
683140201,ทร.4/1,HVC1,31402,pratchaya.su
683140202,ทร.4/2,HVC1,31402,pratchaya.su
683140401,ธบ.4/1,HVC1,31404,laliya.ph
683140501,ชอย.4/1,HVC1,31405,"nanthiya.ut,fueangfa.ch"
683090101,สท.4/1,"	HVC1",31901,paponpat
683090102,สท.4/2,"	HVC1",31901,paponpat
683012801,คภ.4/1,"	HVC1",31908,"rachain.kh,maitree.na"
683012802,คภ.4/2,"	HVC1",31908,"rachain.kh,maitree.na"
