MajorCode,MajorName
20101,ช่างยนต์
20102,ช่างกลโรงงาน
20103,ช่างเชื่อมโลหะ
20104,ช่างไฟฟ้า
20105,อิเล็กทรอนิกส์
20106,ช่างก่อสร้าง
20110,ช่างเขียนแบบเครื่องกล
20202,การบัญชี
20701,การโรงแรม
20702,การท่องเที่ยว
21901,เทคโนโลยีสารสนเทศ
21909,ช่างเทคนิคคอมพิวเตอร์
30101,เทคนิคเครื่องกล
30102,เทคนิคการผลิต
30103,เทคนิคโลหะ
30104,ไฟฟ้า
30105,เทคโนโลยีอิเล็กทรอนิกส์
30106,ช่างก่อสร้าง
30110,เขียนแบบเครื่องกล
30118,การตรวจสอบโดยไม่ทำลาย
30120,เครื่องมือวัดและควบคุม
30127,เมคคาทรอนิกส์และหุ่นยนต์
30143,เทคนิคยานยนต์ไฟฟ้า
30201,การบัญชี
30211,การจัดการธุรกิจค้าปลีก
30701,การโรงแรม
30702,การท่องเที่ยว
31401,การจัดการโลจิสติกส์และซัพพลายเชน
31402,ระบบขนส่งทางราง
31404,ธุรกิจการบิน
31405,ช่างอากาศยาน
31901,เทคโนโลยีสารสนเทศ
31908,เครือข่ายคอมพิวเตอร์และความปลอดภัย
