GroupCode,GroupName,LevelCode,MajorCode,AdvisorUsernames
672010101,"	ชย.2/1","	PVC2","	20101","	jirathat.lu"
672010102,"	ชย.2/2","	PVC2","	20101","	jirathat.lu"
672010103,"	ชย.2/3","	PVC2","	20101","warinthon.ph,montree.wi"
672010104,"	ชย.2/4","	PVC2","	20101","warinthon.ph,montree.wi"
672010105,"	ชย.2/5","	PVC2","	20101","	siwakorn.na"
672010106,"	ชย.2/6","	PVC2","	20101","	siwakorn.na"
672010201,"	ชก.2/1","	PVC2","	20102","	sornram.bo"
672010202,"	ชก.2/2","	PVC2","	20102","	sornram.bo"
672010203,"	ชก.2/3","	PVC2","	20102","	"
672010204,"	ชก.2/4","	PVC2","	20102","	"
672010205,"	ชก.2/5","	PVC2","	20102","	thawatchai.ra"
672010206,"	ชก.2/6","	PVC2","	20102","	thawatchai.ra"
672010207,"	ชก.2/7","	PVC2","	20102","	intouch.pi"
672010301,"	ชช.2/1","	PVC2","	20103","	panthipa.wi"
672010401,"	ชฟ.2/1","	PVC2","	20104","arunphong.hi,naruemon.wi"
672010402,"	ชฟ.2/2","	PVC2","	20104","arunphong.hi,naruemon.wi"
672010403,"	ชฟ.2/3","	PVC2","	20104","	chatchawut.na"
672010404,"	ชฟ.2/4","	PVC2","	20104","	chatchawut.na"
672010405,"	ชฟ.2/5","	PVC2","	20104","	kanyarat.ph"
672010406,"	ชฟ.2/6","	PVC2","	20104","	kanyarat.ph"
672010501,"	ชอ.2/1","	PVC2","	20105","	therdsak.ng"
672010502,"	ชอ.2/2","	PVC2","	20105","	therdsak.ng"
672010503,"	ชอ.2/3","	PVC2","	20105","	chaiprakan.ph"
672010601,"	ชส.2/1","	PVC2","	20106","	thanakrit.bo"
672010602,"	ชส.2/2","	PVC2","	20106","	thanakrit.bo"
672011001,"	ชบ.2/1","	PVC2","	20110","	suratchada.la"
672011002,"	ชบ.2/2","	PVC2","	20110","	suratchada.la"
672012701,"	ชม.2/1","	PVC2","	20127","benchamat.sa,sombat.kh"
672012702,"	ชม.2/2","	PVC2","	20127","benchamat.sa,sombat.kh"
672012703,"	ชม.2/3","	PVC2","	20127","benchamat.sa,sombat.kh"
672012704,"	ชม.2/4","	PVC2","	20127","benchamat.sa,sombat.kh"
672012705,"	ชม.2/5","	PVC2","	20127","wanisa.de,sombat.in"
672020101,"	บช.2/1","	PVC2","	20201","	ketsaraporn.ba"
672020102,"	บช.2/2","	PVC2","	20201","	ketsaraporn.ba"
672020103,"	บช.2/3","	PVC2","	20201","	charupha.ro"
672020104,"	บช.2/4","	PVC2","	20201","	charupha.ro"
672070101,"	กร.2/1","	PVC2","	20701","	watcharaporn.ch"
672070102,"	กร.2/2","	PVC2","	20701","	watcharaporn.ch"
672070103,"	กร.2/3","	PVC2","	20701","	phongphen.sr"
672070104,"	กร.2/4","	PVC2","	20701","	phongphen.sr"
672070201,"	กท.2/1","	PVC2","	20702","	chatchanok.ma"
672070202,"	กท.2/2","	PVC2","	20702","	chatchanok.ma"
