Username,StudentIDNumber,GroupCode
67201010001,67201010001,672010101
67201010003,67201010003,672010101
67201010004,67201010004,672010101
67201010005,67201010005,672010101
67201010006,67201010006,672010101
67201010007,67201010007,672010101
67201010008,67201010008,672010101
67201010009,67201010009,672010101
67201010010,67201010010,672010101
67201010012,67201010012,672010101
67201010014,67201010014,672010101
67201010015,67201010015,672010101
67201010017,67201010017,672010101
67201010019,67201010019,672010101
67201010020,67201010020,672010101
67201010021,67201010021,672010101
67201010022,67201010022,672010102
67201010023,67201010023,672010102
67201010024,67201010024,672010102
67201010027,67201010027,672010102
67201010029,67201010029,672010102
67201010030,67201010030,672010102
67201010031,67201010031,672010102
67201010032,67201010032,672010102
67201010034,67201010034,672010102
67201010036,67201010036,672010102
67201010038,67201010038,672010102
67201010040,67201010040,672010102
67201010041,67201010041,672010102
67201010042,67201010042,672010102
67201010044,67201010044,672010103
67201010046,67201010046,672010103
67201010047,67201010047,672010103
67201010048,67201010048,672010103
67201010049,67201010049,672010103
67201010051,67201010051,672010103
67201010052,67201010052,672010103
67201010053,67201010053,672010103
67201010054,67201010054,672010103
67201010057,67201010057,672010103
67201010058,67201010058,672010103
67201010059,67201010059,672010103
67201010061,67201010061,672010103
67201010062,67201010062,672010103
67201010063,67201010063,672010103
67201010064,67201010064,672010104
67201010065,67201010065,672010104
67201010066,67201010066,672010104
67201010067,67201010067,672010104
67201010068,67201010068,672010104
67201010070,67201010070,672010104
67201010072,67201010072,672010104
67201010073,67201010073,672010104
67201010074,67201010074,672010104
67201010075,67201010075,672010104
67201010076,67201010076,672010104
67201010077,67201010077,672010104
67201010078,67201010078,672010104
67201010079,67201010079,672010104
67201010084,67201010084,672010105
67201010085,67201010085,672010105
67201010087,67201010087,672010105
67201010088,67201010088,672010105
67201010090,67201010090,672010105
67201010091,67201010091,672010105
67201010092,67201010092,672010105
67201010094,67201010094,672010105
67201010098,67201010098,672010105
67201010100,67201010100,672010105
67201010101,67201010101,672010105
67201010102,67201010102,672010105
67201010104,67201010104,672010105
67201010106,67201010106,672010106
67201010109,67201010109,672010106
67201010111,67201010111,672010106
67201010112,67201010112,672010106
67201010113,67201010113,672010106
67201010115,67201010115,672010106
67201010116,67201010116,672010106
67201010118,67201010118,672010106
67201010119,67201010119,672010106
67201010121,67201010121,672010106
67201010122,67201010122,672010106
67201010123,67201010123,672010106
67201010124,67201010124,672010106
67201020001,67201020001,672010201
67201020003,67201020003,672010201
67201020004,67201020004,672010201
67201020005,67201020005,672010201
67201020008,67201020008,672010201
67201020009,67201020009,672010201
67201020010,67201020010,672010201
67201020011,67201020011,672010201
67201020012,67201020012,672010201
67201020014,67201020014,672010201
67201020015,67201020015,672010201
67201020016,67201020016,672010201
67201020017,67201020017,672010201
67201020019,67201020019,672010201
67201020022,67201020022,672010201
67201020023,67201020023,672010202
67201020024,67201020024,672010202
67201020025,67201020025,672010202
67201020026,67201020026,672010202
67201020028,67201020028,672010202
67201020029,67201020029,672010202
67201020032,67201020032,672010202
67201020034,67201020034,672010202
67201020035,67201020035,672010202
67201020036,67201020036,672010202
67201020037,67201020037,672010202
67201020039,67201020039,672010202
67201020040,67201020040,672010202
67201020041,67201020041,672010202
67201020042,67201020042,672010202
67201020043,67201020043,672010202
67201020044,67201020044,672010203
67201020045,67201020045,672010203
67201020046,67201020046,672010203
67201020047,67201020047,672010203
67201020048,67201020048,672010203
67201020049,67201020049,672010203
67201020051,67201020051,672010203
67201020052,67201020052,672010203
67201020053,67201020053,672010203
67201020054,67201020054,672010203
67201020055,67201020055,672010203
67201020057,67201020057,672010203
67201020058,67201020058,672010203
67201020060,67201020060,672010203
67201020061,67201020061,672010203
67201020062,67201020062,672010203
67201020064,67201020064,672010203
67201020065,67201020065,672010204
67201020066,67201020066,672010204
67201020067,67201020067,672010204
67201020070,67201020070,672010204
67201020072,67201020072,672010204
67201020073,67201020073,672010204
67201020074,67201020074,672010204
67201020075,67201020075,672010204
67201020077,67201020077,672010204
67201020079,67201020079,672010204
67201020080,67201020080,672010204
67201020081,67201020081,672010204
67201020083,67201020083,672010204
67201020084,67201020084,672010204
67201020085,67201020085,672010204
67201020086,67201020086,672010205
67201020088,67201020088,672010205
67201020090,67201020090,672010205
67201020091,67201020091,672010205
67201020095,67201020095,672010205
67201020097,67201020097,672010205
67201020098,67201020098,672010205
67201020099,67201020099,672010205
67201020100,67201020100,672010205
67201020101,67201020101,672010205
67201020102,67201020102,672010205
67201020104,67201020104,672010205
67201020105,67201020105,672010205
67201020106,67201020106,672010205
67201020108,67201020108,672010206
67201020109,67201020109,672010206
67201020110,67201020110,672010206
67201020111,67201020111,672010206
67201020112,67201020112,672010206
67201020116,67201020116,672010206
67201020117,67201020117,672010206
67201020118,67201020118,672010206
67201020119,67201020119,672010206
67201020121,67201020121,672010206
67201020122,67201020122,672010206
67201020123,67201020123,672010206
67201020124,67201020124,672010206
67201020125,67201020125,672010206
67201020127,67201020127,672010206
67201020128,67201020128,672010207
67201020129,67201020129,672010207
67201020130,67201020130,672010207
67201020132,67201020132,672010207
67201020133,67201020133,672010207
67201020134,67201020134,672010207
67201020137,67201020137,672010207
67201020138,67201020138,672010207
67201020140,67201020140,672010207
67201020141,67201020141,672010207
67201020142,67201020142,672010207
67201020143,67201020143,672010207
67201020144,67201020144,672010207
67201020145,67201020145,672010207
67201020146,67201020146,672010207
67201020147,67201020147,672010207
67201020148,67201020148,672010207
67201020150,67201020150,672010207
67201030001,67201030001,672010301
67201030002,67201030002,672010301
67201030003,67201030003,672010301
67201030005,67201030005,672010301
67201030006,67201030006,672010301
67201030007,67201030007,672010301
67201030008,67201030008,672010301
67201030010,67201030010,672010301
67201040002,67201040002,672010401
67201040003,67201040003,672010401
67201040004,67201040004,672010401
67201040005,67201040005,672010401
67201040006,67201040006,672010401
