Username,StudentIDNumber,GroupCode
66201010001,66201010001,662010101
66201010003,66201010003,662010101
66201010004,66201010004,662010101
66201010005,66201010005,662010101
66201010006,66201010006,662010101
66201010007,66201010007,662010101
66201010008,66201010008,662010101
66201010009,66201010009,662010101
66201010010,66201010010,662010101
66201010011,66201010011,662010101
66201010012,66201010012,662010101
66201010013,66201010013,662010101
66201010014,66201010014,662010101
66201010015,66201010015,662010101
66201010017,66201010017,662010101
66201010018,66201010018,662010101
66201010020,66201010020,662010101
66201010021,66201010021,662010101
66201010022,66201010022,662010102
66201010023,66201010023,662010102
66201010024,66201010024,662010102
66201010025,66201010025,662010102
66201010026,66201010026,662010102
66201010028,66201010028,662010102
66201010029,66201010029,662010102
66201010030,66201010030,662010102
66201010032,66201010032,662010102
66201010033,66201010033,662010102
66201010034,66201010034,662010102
66201010035,66201010035,662010102
66201010036,66201010036,662010102
66201010037,66201010037,662010102
66201010038,66201010038,662010102
66201010039,66201010039,662010102
66201010040,66201010040,662010102
66201010041,66201010041,662010102
66201010042,66201010042,662010103
66201010043,66201010043,662010103
66201010044,66201010044,662010103
66201010046,66201010046,662010103
66201010047,66201010047,662010103
66201010048,66201010048,662010103
66201010049,66201010049,662010103
66201010050,66201010050,662010103
66201010051,66201010051,662010103
66201010053,66201010053,662010103
66201010055,66201010055,662010103
66201010056,66201010056,662010103
66201010057,66201010057,662010103
66201010059,66201010059,662010103
66201010061,66201010061,662010103
66201010062,66201010062,662010104
66201010063,66201010063,662010104
66201010064,66201010064,662010104
66201010066,66201010066,662010104
66201010067,66201010067,662010104
66201010068,66201010068,662010104
66201010069,66201010069,662010104
66201010070,66201010070,662010104
66201010071,66201010071,662010104
66201010073,66201010073,662010104
66201010074,66201010074,662010104
66201010078,66201010078,662010104
66201010080,66201010080,662010104
66201010081,66201010081,662010104
66201010082,66201010082,662010105
66201010083,66201010083,662010105
66201010084,66201010084,662010105
66201010085,66201010085,662010105
66201010086,66201010086,662010105
66201010088,66201010088,662010105
66201010089,66201010089,662010105
66201010090,66201010090,662010105
66201010091,66201010091,662010105
66201010092,66201010092,662010105
66201010093,66201010093,662010105
66201010094,66201010094,662010105
66201010095,66201010095,662010105
66201010096,66201010096,662010105
66201010099,66201010099,662010105
66201010100,66201010100,662010105
66201010101,66201010101,662010105
66201010103,66201010103,662010106
66201010104,66201010104,662010106
66201010105,66201010105,662010106
66201010106,66201010106,662010106
66201010108,66201010108,662010106
66201010109,66201010109,662010106
66201010110,66201010110,662010106
66201010111,66201010111,662010106
66201010112,66201010112,662010106
66201010115,66201010115,662010106
66201010116,66201010116,662010106
66201010117,66201010117,662010106
66201010118,66201010118,662010106
66201010119,66201010119,662010106
66201010120,66201010120,662010106
66201010122,66201010122,662010106
66201020001,66201020001,662010201
66201020002,66201020002,662010201
66201020003,66201020003,662010201
66201020004,66201020004,662010201
66201020006,66201020006,662010201
66201020007,66201020007,662010201
66201020008,66201020008,662010201
66201020009,66201020009,662010201
66201020013,66201020013,662010201
66201020014,66201020014,662010201
66201020015,66201020015,662010201
66201020016,66201020016,662010201
66201020017,66201020017,662010201
66201020018,66201020018,662010201
66201020019,66201020019,662010201
66201020021,66201020021,662010202
66201020022,66201020022,662010202
66201020023,66201020023,662010202
66201020024,66201020024,662010202
66201020025,66201020025,662010202
66201020026,66201020026,662010202
66201020027,66201020027,662010202
66201020028,66201020028,662010202
66201020029,66201020029,662010202
66201020030,66201020030,662010202
66201020032,66201020032,662010202
66201020033,66201020033,662010202
66201020034,66201020034,662010202
66201020036,66201020036,662010202
66201020037,66201020037,662010202
66201020038,66201020038,662010202
66201020039,66201020039,662010202
66201020040,66201020040,662010202
66201020041,66201020041,662010203
66201020046,66201020046,662010203
66201020047,66201020047,662010203
66201020048,66201020048,662010203
66201020049,66201020049,662010203
66201020054,66201020054,662010203
66201020056,66201020056,662010203
66201020057,66201020057,662010203
66201020058,66201020058,662010203
66201020060,66201020060,662010203
66201020062,66201020062,662010203
66201020064,66201020064,662010203
66201020066,66201020066,662010203
66201020068,66201020068,662010203
66201020069,66201020069,662010203
66201020070,66201020070,662010203
66201020072,66201020072,662010203
66201020073,66201020073,662010203
66201020074,66201020074,662010203
66201020077,66201020077,662010203
66201020080,66201020080,662010203
66201020083,66201020083,662010205
66201020086,66201020086,662010205
66201020087,66201020087,662010205
66201020088,66201020088,662010205
66201020089,66201020089,662010205
66201020094,66201020094,662010205
66201020095,66201020095,662010205
66201020096,66201020096,662010205
66201020098,66201020098,662010205
66201020100,66201020100,662010205
66201020102,66201020102,662010205
66201020103,66201020103,662010205
66201020104,66201020104,662010205
66201020107,66201020107,662010205
66201020108,66201020108,662010205
66201020110,66201020110,662010205
66201020112,66201020112,662010205
66201020115,66201020115,662010207
66201020116,66201020116,662010207
66201020117,66201020117,662010207
66201020118,66201020118,662010207
66201020119,66201020119,662010207
66201020120,66201020120,662010207
66201020121,66201020121,662010207
66201020123,66201020123,662010207
66201020124,66201020124,662010207
66201020125,66201020125,662010207
66201020126,66201020126,662010207
66201020127,66201020127,662010207
66201020128,66201020128,662010207
66201020129,66201020129,662010207
66201020130,66201020130,662010207
66201020131,66201020131,662010207
66201020132,66201020132,662010207
66201030002,66201030002,662010301
66201030003,66201030003,662010301
66201030004,66201030004,662010301
66201030005,66201030005,662010301
66201030006,66201030006,662010301
66201030007,66201030007,662010301
66201030008,66201030008,662010301
66201040001,66201040001,662010401
66201040002,66201040002,662010401
66201040003,66201040003,662010401
66201040004,66201040004,662010401
66201040005,66201040005,662010401
66201040006,66201040006,662010401
66201040007,66201040007,662010401
66201040008,66201040008,662010401
66201040009,66201040009,662010401
66201040010,66201040010,662010401
66201040011,66201040011,662010401
66201040013,66201040013,662010401
66201040014,66201040014,662010401
66201040015,66201040015,662010401
66201040016,66201040016,662010401
66201040017,66201040017,662010401
66201040022,66201040022,662010401
66201040131,66201040131,662010401
66201040132,66201040132,662010401
66201040133,66201040133,662010401
66201040023,66201040023,662010402
66201040024,66201040024,662010402
66201040025,66201040025,662010402
66201040026,66201040026,662010402
66201040027,66201040027,662010402
66201040028,66201040028,662010402
66201040029,66201040029,662010402
66201040030,66201040030,662010402
66201040031,66201040031,662010402
